time_elapse,self_words,articles,themes,tags_all,summary_words,has_image,polarity,subjectivity,sentencces,words,length_tags,age,educational_attainment,gender,civil_stat,label
2.81E+03,0.00E+00,0.00E+00,0.00E+00,2.60E+01,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,1.20E+01,2.60E+01,18,Highschool Diploma or Equivalent,Agender,Single,1
2.81E+03,1.00E+00,0.00E+00,0.00E+00,1.56E+02,1.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,5.00E+00,1.62E+02,19,Highschool Diploma or Equivalent,Genderfluid,Single,1
2.81E+03,0.00E+00,0.00E+00,0.00E+00,3.32E+02,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,1.20E+01,3.32E+02,21,Less Than Highschool,Agender Trans,Married,1
1.37E+03,0.00E+00,0.00E+00,0.00E+00,4.57E+02,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,4.57E+02,18,Associate's Degree,Transmale,Single,1
-6.69E+01,0.00E+00,1.00E+00,0.00E+00,4.90E+02,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+00,4.90E+02,18,Bachelor's Degree,Female,Single,1
2.81E+03,2.00E+00,0.00E+00,0.00E+00,5.19E+02,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.44E+02,18,Associate's Degree,Female,Single,1
1.37E+03,0.00E+00,1.00E+00,0.00E+00,1.32E+03,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,6.00E+00,1.38E+03,14,Less Than Highschool,Female,Single,1
1.37E+03,0.00E+00,0.00E+00,0.00E+00,1.79E+03,1.00E+00,1.00E+00,1.00E-01,0.00E+00,1.00E+00,2.60E+01,1.81E+03,17,Less Than Highschool,Genderflux girl,Single,1
2.81E+03,0.00E+00,2.00E+00,0.00E+00,2.04E+03,1.00E+00,0.00E+00,-2.25E-01,4.71E-01,2.00E+00,6.10E+01,2.08E+03,26,Bachelor's Degree,Female,Single,1
1.37E+03,2.00E+00,4.00E+00,0.00E+00,2.92E+03,1.00E+00,0.00E+00,-2.84E-01,3.38E-01,0.00E+00,0.00E+00,2.94E+03,17,Less Than Highschool,Female,Single,1
4.25E+03,0.00E+00,0.00E+00,0.00E+00,3.57E+03,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,5.90E+01,3.57E+03,19,"Some College, No Degree",Female,Single,1
1.37E+03,0.00E+00,2.00E+00,0.00E+00,3.68E+03,0.00E+00,0.00E+00,-1.00E-01,0.00E+00,0.00E+00,0.00E+00,3.68E+03,14,Highschool Diploma or Equivalent,Female,Single,1
7.13E+03,0.00E+00,1.00E+00,0.00E+00,3.73E+03,1.00E+00,0.00E+00,0.00E+00,5.00E-01,1.00E+00,5.00E+00,3.75E+03,16,Highschool Diploma or Equivalent,Female,Single,1
5.69E+03,0.00E+00,0.00E+00,0.00E+00,4.43E+03,1.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,2.90E+01,4.43E+03,19,"Some College, No Degree",Female,Single,1
1.00E+04,0.00E+00,9.00E+00,0.00E+00,4.84E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.88E+03,17,Less Than Highschool,Female,Single,1
4.89E+04,1.20E+01,0.00E+00,0.00E+00,7.34E+03,0.00E+00,1.00E+00,0.00E+00,7.20E-01,0.00E+00,8.00E+00,7.36E+03,19,Highschool Diploma or Equivalent,Male,Single,1
4.25E+03,0.00E+00,0.00E+00,0.00E+00,7.39E+03,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,2.20E+01,7.39E+03,17,Highschool Diploma or Equivalent,Female,Single,1
2.73E+04,0.00E+00,0.00E+00,0.00E+00,7.55E+03,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.76E+03,14,Less Than Highschool,Female,Single,1
2.81E+03,0.00E+00,1.00E+00,0.00E+00,9.38E+03,1.00E+00,0.00E+00,1.93E-01,0.00E+00,1.00E+00,2.30E+01,9.39E+03,16,Less Than Highschool,Female,Single,1
8.57E+03,0.00E+00,0.00E+00,0.00E+00,9.46E+03,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,2.20E+01,9.48E+03,18,Highschool Diploma or Equivalent,Female,Single,1
1.37E+03,1.00E+00,0.00E+00,0.00E+00,1.00E+04,0.00E+00,1.00E+00,2.04E-01,4.79E-01,1.00E+00,0.00E+00,1.00E+04,16,Less Than Highschool,Female,Single,1
1.37E+03,0.00E+00,5.00E+00,0.00E+00,1.02E+04,1.00E+00,0.00E+00,0.00E+00,6.68E-01,4.00E+00,0.00E+00,1.02E+04,16,Less Than Highschool,Female,Single,1
1.37E+03,0.00E+00,0.00E+00,0.00E+00,1.03E+04,1.00E+00,1.00E+00,-1.50E-01,7.00E-01,0.00E+00,1.80E+01,1.03E+04,17,Less Than Highschool,Female,Single,1
1.37E+03,2.00E+00,0.00E+00,0.00E+00,1.05E+04,1.00E+00,1.00E+00,2.00E-01,7.00E-01,1.00E+00,2.15E+02,1.05E+04,20,"Some College, No Degree",Female,Single,1
7.13E+03,1.00E+00,0.00E+00,0.00E+00,1.09E+04,0.00E+00,1.00E+00,-1.00E-01,0.00E+00,1.00E+00,1.30E+01,1.09E+04,15,Less Than Highschool,Female,Single,1
1.37E+03,0.00E+00,0.00E+00,0.00E+00,1.09E+04,0.00E+00,0.00E+00,1.08E-01,6.53E-01,2.00E+00,7.90E+01,1.10E+04,14,Less Than Highschool,Female,Single,1
4.25E+03,0.00E+00,3.00E+00,0.00E+00,1.16E+04,1.00E+00,0.00E+00,-1.29E-01,9.00E-01,4.00E+00,9.00E+00,1.17E+04,17,Less Than Highschool,Female,Single,1
4.25E+03,0.00E+00,0.00E+00,0.00E+00,1.28E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,1.28E+04,20,"Some College, No Degree",Female,Single,1
1.37E+03,0.00E+00,0.00E+00,0.00E+00,1.28E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+00,0.00E+00,1.28E+04,17,Highschool Diploma or Equivalent,Female,Single,1
1.37E+03,0.00E+00,0.00E+00,0.00E+00,1.29E+04,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.29E+04,18,"Some College, No Degree",Female,Single,1
1.37E+03,1.00E+00,1.00E+00,0.00E+00,1.29E+04,0.00E+00,1.00E+00,2.08E-01,2.00E-01,0.00E+00,2.90E+01,1.29E+04,24,"Some College, No Degree",Female,Single,1
5.69E+03,0.00E+00,1.00E+00,0.00E+00,1.33E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.20E+01,1.33E+04,18,Highschool Diploma or Equivalent,Female,Single,1
4.25E+03,0.00E+00,0.00E+00,0.00E+00,1.34E+04,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,3.20E+01,1.34E+04,16,Less Than Highschool,Female,Single,1
1.29E+04,2.00E+00,0.00E+00,0.00E+00,1.34E+04,1.00E+00,0.00E+00,5.00E-01,7.50E-01,1.00E+00,1.40E+01,1.34E+04,17,Less Than Highschool,Male,Single,1
2.81E+03,0.00E+00,1.00E+00,0.00E+00,1.54E+04,1.00E+00,1.00E+00,4.79E-01,0.00E+00,1.00E+00,1.30E+01,1.54E+04,20,"Some College, No Degree",Female,Single,1
1.43E+04,0.00E+00,0.00E+00,0.00E+00,1.54E+04,0.00E+00,1.00E+00,3.00E-01,0.00E+00,0.00E+00,0.00E+00,1.54E+04,16,Less Than Highschool,Female,Single,1
2.81E+03,1.00E+00,0.00E+00,0.00E+00,1.55E+04,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,1.55E+04,25,Bachelor's Degree,Female,Single,1
4.25E+03,0.00E+00,0.00E+00,0.00E+00,1.55E+04,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.55E+04,19,Highschool Diploma or Equivalent,Female,Single,1
2.81E+03,0.00E+00,0.00E+00,0.00E+00,1.56E+04,0.00E+00,1.00E+00,3.31E-01,0.00E+00,0.00E+00,4.00E+00,1.56E+04,17,Highschool Diploma or Equivalent,Female,Single,1
8.57E+03,0.00E+00,2.00E+00,0.00E+00,1.56E+04,1.00E+00,1.00E+00,0.00E+00,6.00E-01,1.00E+00,1.70E+01,1.56E+04,16,Less Than Highschool,Female,Single,1
4.03E+04,0.00E+00,0.00E+00,0.00E+00,1.63E+04,1.00E+00,0.00E+00,6.00E-01,0.00E+00,0.00E+00,4.00E+00,1.63E+04,15,Less Than Highschool,Female,Single,1
